title,authors,publish_date,content,source_url
Winter Olympics: How Team GB can still win plenty of medals,,"Thu, 12 Feb 2026 12:21:21 GMT","For some years, it has been said, Great Britain has been punching above its weight in winter sports.

No ice track, few snowy mountains, and yet world champions, X Games medallists and World Cup podium finishes aplenty.

But right now, those punches are coming in the opposite direction - and they feel heavy.

Many expected Team GB to be on the medal table by now, with at least three, perhaps four medals on the board. Instead, the total remains at zero.

There have been three agonising fourth-place finishes for freestyle skier Kirsty Muir, snowboarder Mia Brookes, and curlers Bruce Mouat and Jen Dodds, while a solitary error cost figure skaters Lilah Fear and Lewis Gibson dearly when they had been battling for a bronze in the ice dance.

But it has demonstrated just how tight the margins are.

Take Muir, for example. Just 0.41 of a point was the difference between bronze and fourth place in the slopestyle.

Had she not squatted on a landing on her final run, she would have made the podium.

Brookes, meanwhile, knew she needed to go huge on her final big air run for a chance of a medal - and so she did.

She landed a competition-first backside 1620 trick - featuring four-and-a-half rotations - but over-rotated at the very last moment.

Had she landed it cleanly, she would have won a medal.",https://www.bbc.com/sport/articles/c74381y03jgo?at_medium=RSS&at_campaign=rss
Dawson's Creek: The 90s teen drama that 'wore its heart on its sleeve',,"Thu, 12 Feb 2026 14:27:59 GMT","""It was a show that very much had its heart on its sleeve, with the characters openly talking to each other about their feelings (and their feelings for each other). It didn't look down on its audience, and it featured performances that were more fleshed out than its rivals.""",https://www.bbc.com/news/articles/c5y5x230ve4o?at_medium=RSS&at_campaign=rss
What to know about bowel cancer and how to spot it,,"Thu, 12 Feb 2026 10:49:43 GMT","Some genetic conditions such as Lynch syndrome mean you have a much greater risk of developing bowel cancer. But doctors can work with patients to try and limit the additional risk, and ensure they are diagnosed at an earlier stage when it is easier to treat.",https://www.bbc.com/news/articles/c8egk985r80o?at_medium=RSS&at_campaign=rss
Parents blame baby deaths on misssed chances at Sussex NHS trust,,"Thu, 12 Feb 2026 06:00:20 GMT","As a neonatal nursery nurse who had worked at the Princess Royal, she says ""it was really obvious to me that something wasn't right"". On each occasion, she was attached to a CTG machine which monitors a baby's heart rate, and Beth says she was assured her baby was fine and told to go home.",https://www.bbc.com/news/articles/ckg2n644l44o?at_medium=RSS&at_campaign=rss
Cancer DNA blood test rolled out after Welsh trial,,"Thu, 12 Feb 2026 06:11:20 GMT","""It's incredibly positive news and hopefully we can see a step change in in the way that cancer is diagnosed, because this is the future,"" said Lowri Griffiths of Tenovus Cancer Care, who is also Chair of the Wales Cancer Alliance.",https://www.bbc.com/news/articles/c33jv6j83m5o?at_medium=RSS&at_campaign=rss
"The Dutch love four-day working weeks, but are they sustainable?",,"Thu, 12 Feb 2026 00:00:05 GMT","""The work-life balance was at the heart of it,"" adds de Wit, who disagrees with the suggestion that their staff are now doing less work for the same amount of money. Instead he puts it down to ""working smarter not harder"".",https://www.bbc.com/news/articles/cx2y85xdyw3o?at_medium=RSS&at_campaign=rss
Four takeaways from Pam Bondi's fiery Epstein testimony,,"Wed, 11 Feb 2026 22:00:57 GMT","The attorney general said at another point during the hearing that officials were doing their best to protect victims in the timeframe allotted by the legislation that required the files to be released. She said any names brought to them that have been released ""inadvertently"" have been ""immediately redacted"".",https://www.bbc.com/news/articles/cq6ql2n917zo?at_medium=RSS&at_campaign=rss
Killer of 12-year-old schoolboy Leo Ross named,,"Thu, 12 Feb 2026 14:34:28 GMT","""I looked on the news and I was like oh my God, I knew that kid when he was a baby, he wasn't like that,"" she added, while acknowledging that there was trouble as he became older, with tellings-off by his father sometimes spilling into the street.",https://www.bbc.com/news/articles/cm21080x1k6o?at_medium=RSS&at_campaign=rss
Daily Mail owner's takeover of Telegraph to face probe,,"Thu, 12 Feb 2026 15:17:55 GMT","In issuing the probe into the deal, Nandy said: ""The public interest considerations concerned are the need for a sufficient plurality of views in each UK market for news media; and, the need for a sufficient plurality of persons with control of media enterprises serving every different UK audience.""",https://www.bbc.com/news/articles/czj17w3n1e8o?at_medium=RSS&at_campaign=rss
UK weather: Snow and ice warnings issued after relentless rain and flooding,,"Thu, 12 Feb 2026 05:22:15 GMT","After relentless wet and gloomy conditions, wintry weather is set to return to parts of the UK with snow and ice in the forecast for many.

Arctic air will accompany the change in conditions, dropping temperatures as many as six degrees below average.

The Met Office has issued yellow warnings for snow and ice across Scotland and northern England from 16:00 GMT Thursday to 12:00 Friday.

Rain will fall as snow initially over higher ground before reaching to lower levels through Thursday night.

Settling snow will mostly be seen above 200m with as much as 10cm possible.

The rain and snow are expected to clear south during the early hours of Friday, though temperatures will fall quickly to around 3 to 6C below the average.

This will lead to ice on untreated surfaces and dangerous road conditions in some places.",https://www.bbc.com/weather/articles/cy9gje95w5zo?at_medium=RSS&at_campaign=rss
"Motorway collapses as deadly storms hit France, Portugal and Spain",,"Thu, 12 Feb 2026 13:00:27 GMT","The storms caused significant disruption to transport in Spain, with schools suspended in Catalonia in the north-east, the Basque country on red alert for waves of up to 10m (32ft) on the north-west coast, and winds of 148km/h recorded at Alicante in the south-east.",https://www.bbc.com/news/articles/c20l6d03e1no?at_medium=RSS&at_campaign=rss
Prince Harry thanks bereaved families taking on social media firms,,"Thu, 12 Feb 2026 12:09:00 GMT","""I've been in some similar situations myself - vastly different - but when you're sitting in court and if you have that feeling of just overwhelming emotion, because you can't believe that the people on the other side are saying what they're saying - that by the very nature of defending what they're defending, the lies that they are stating, is devaluing life, is devaluing your children's lives - if that brings stuff up for you, it is totally normal,"" he said.",https://www.bbc.com/news/articles/ce8w968y7p1o?at_medium=RSS&at_campaign=rss
MPs fear data centre boom could derail Miliband's net zero plans,,"Thu, 12 Feb 2026 14:06:29 GMT","""The issue of data centres and its impact on energy use and emissions have been highlighted as a key area of concern, which is why my committee was concerned by its omission in CB7,"" Perkins said in his letter to Miliband.",https://www.bbc.com/news/articles/c5yjr9mp92po?at_medium=RSS&at_campaign=rss
The BBC News app keeps you informed with live and breaking news you can trust,,"Wed, 30 Apr 2025 14:04:28 GMT","Click here, external to download the BBC News app from the App Store for iPhone, iPad and iPod Touch.

Click here, external to download the BBC News app from Google Play for Android devices.

If you're outside the UK, you can download the BBC app here, external.",https://www.bbc.co.uk/news/10628994?at_medium=RSS&at_campaign=rss
Two More Problems For Keir Starmer?,,"Wed, 11 Feb 2026 20:50:00 GMT","Available for over a year

Today, Keir Starmer was given a grilling at Prime Minister’s Questions about his decision to award a peerage to Lord Doyle. Chris unpacks PMQs and the latest revelations with Alex and James, as well as an intervention from former Prime Minister Gordon Brown calling for police to interview Andrew Mountbatten-Windsor. Plus the BBC's chief international correspondent Lyse Doucet joins the podcast from Iran as the country marks the 47th anniversary of the Islamic revolution. You can now listen to Newscast on a smart speaker. If you want to listen, just say ""Ask BBC Sounds to play Newscast”. It works on most smart speakers. You can join our Newscast online community here: https://bbc.in/newscastdiscord Get in touch with Newscast by emailing newscast@bbc.co.uk or send us a WhatsApp on +44 0330 123 9480. New episodes released every day. If you're in the UK, for more News and Current Affairs podcasts from the BBC, listen on BBC Sounds: https://bbc.in/4guXgXd Newscast brings you daily analysis of the latest political news stories from the BBC. The presenter was Adam Fleming. It was made by Miranda Slade, Sophie van Brugen and Chloe Scannapieco. The social producer was Joe Wilkinson. The technical producer was Mike Regaard. The assistant editor is Chris Gray. The senior news editor is Sam Bonham.

Programme Website",https://www.bbc.co.uk/sounds/play/p0n0jd91?at_medium=RSS&at_campaign=rss
Has Jeff Bezos brought down the Washington Post?,,"Wed, 11 Feb 2026 19:53:00 GMT","Available for over a year

The paper that contributed to the resignation of President Nixon over Watergate and the Vietnam war is now having to rethink its future. The Washington Post’s owner - Amazon boss Jeff Bezos - has announced mass layoffs at the newspaper, which will fundamentally change how it covers the news. When Bezos bought the paper in 2013, he reassured staff about a “new golden era for the Washington Post”, and later adopted a new slogan for the Washington Post “Democracy Dies in Darkness”. Justin and Anthony discuss why the cuts have happened and what the wider impact may be on US media. With Bezos defending the cuts as “the data tells us what is valuable and where to focus"", we look at whether the role of money, influence, and closeness to President Trump could also be at play? HOSTS: • Justin Webb, Radio 4 presenter • Anthony Zurcher, North America Correspondent GET IN TOUCH: • Join our online community: https://discord.gg/qSrxqNcmRB • Send us a message or voice note via WhatsApp to +44 330 123 9480 • Email Americast@bbc.co.uk • Or use #Americast This episode was made by Rufus Gray, Grace Reeve and Kris Jalowiecki. The technical producer was Mike Regaard. The series producer is Purvee Pattni. The senior news editor is Sam Bonham. If you want to be notified every time we publish a new episode, please subscribe to us on BBC Sounds by hitting the subscribe button on the app. You can now listen to Americast on a smart speaker. If you want to listen, just say ""Ask BBC Sounds to play Americast”. It works on most smart speakers. US Election Unspun: Sign up for Anthony’s BBC newsletter: https://www.bbc.co.uk/news/world-us-canada-68093155 Americast is part of the BBC News Podcasts family of podcasts. The team that makes Americast also makes lots of other podcasts, including Newscast. If you enjoy Americast (and if you're reading this then you hopefully do), then we think that you will enjoy some of our other pods too. See links below. Newscast: https://www.bbc.co.uk/sounds/series/p05299nl Radical: https://www.bbc.co.uk/sounds/brand/p0gg4k6r The Global Story: https://www.bbc.co.uk/sounds/brand/w13xtvsd

Programme Website",https://www.bbc.co.uk/sounds/play/p0n0j22b?at_medium=RSS&at_campaign=rss
